Reference,SpeechId,Direction,SttLatency,length,beginOfSpeech,endOfSpeech,SttResult,TranslationLatency,length,TranslatedResult,useless,translation comment
1709888686809
,1709888685493,1,783ms,5,1709888685501,1709888687286,Hello,429ms,5,Witam
,1709888694409,1,446ms,16,1709888694410,1709888696651,Can you hear me?,67ms,14,Słyszysz mnie?
,1709888698369,0,541ms,7,1709888698371,1709888702059,Tak tak,217ms,10,Yes I do.
,1709888706371,1,425ms,51,1709888706372,1709888711329,Hello my name is Prasanna. I'm calling from India.,1709888711754ms,45,Cześć nazywam się Prasanna. Dzwonię z Indii.
,1709888717810,0,371ms,5,1709888717811,1709888720052,Cześć,42ms,5,Hello
,1709888725331,0,407ms,11,1709888725333,1709888727608,Cześć cześć,62ms,8,Hi hello
,1709888731490,1,474ms,45,1709888731493,1709888736302,May I know what is the time now in in Poland?,122ms,45,Czy mogę wiedzieć która jest teraz w Polsce?
,1709888735489,0,335ms,4,1709888735490,1709888737418,Halo,34ms,5,Hello
,1709888743172,0,297ms,5,1709888743174,1709888745848,10:05,17ms,5,10:05
,1709888750851,1,376ms,4,1709888750852,1709888752771,Okay,49ms,5,Okej.
,1709888754850,1,480ms,50,1709888754851,1709888760809,So today's topic will be movies and entertainment.,108ms,37,Dzisiejszy temat to filmy i rozrywka.
,1709888766571,0,446ms,28,1709888766572,1709888769896,Świetnie mogę się doczekać. ,73ms,31,I can look forward to it great.
,1709888776294,1,434ms,40,1709888776296,1709888780370,What is the official language of Poland?,84ms,32,Jaki jest język urzędowy Polski?
,1709888785652,0,482ms,29,1709888785653,1709888789651,Polski to jest język Polski. ,72ms,33,Polish is the language of Poland.
,1709888797529,1,430ms,38,1709888797531,1709888803050,Are there any police films on Netflix?,95ms,43,Czy są jakieś filmy policyjne na Netflixie?
,1709888807693,1,423ms,41,1709888807710,1709888811133,Sorry there is a translation error here.,101ms,41,Przepraszamy jest tu błąd w tłumaczeniu.
,1709888810330,0,472ms,25,1709888810331,1709888815299,Izby policyjne nie wiem. ,89ms,33,I don't know the police chambers.
,1709888814970,1,396ms,15,1709888814983,1709888817409,I meant to say.,51ms,20,Chciałem powiedzieć.
,1709888819213,1,446ms,9,1709888819214,1709888822453,PO LIS H.,70ms,9,PO LIS H.
,1709888830413,0,469ms,24,1709888830415,1709888833326,Nie znam takiego Słowa. ,89ms,23,I don't know that word.
,1709888838690,1,441ms,47,1709888838692,1709888845329,Are there any Poland specific films on Netflix?,105ms,52,Czy są jakieś konkretne filmy w Polsce na Netflixie?
,1709888856292,0,729ms,75,1709888856295,1709888863411,Nie oglądam za dużo cliksa wydaje mi się że jest to bardzo dużo seriali. ,166ms,58,I don't watch too much Cliks I think it's a lot of shows.
,1709888871051,1,448ms,72,1709888871052,1709888878612,There is a movie. It's called boys. Don't cry have you seen this movie?,1709888879060ms,58,Jest film. Nazywa się Boys. Nie płacz widziałaś ten film?
,1709888882457,1,422ms,15,1709888882459,1709888885369,Boys don't cry.,73ms,19,Chłopcy nie płaczą.
,1709888885411,0,500ms,26,1709888885412,1709888889174,Nie widziałam filmu tego. ,133ms,33,I haven't seen the movie of this.
,1709888895494,1,410ms,36,1709888895495,1709888900575,What about the series of never lies?,93ms,24,A co z serią Never Lies?
,1709888895729,0,469ms,27,1709888895730,1709888898568,A ty oglądałaś ten chill. ,81ms,28,And you watched that chill.
,1709888905529,1,403ms,16,1709888905531,1709888908819,Love never lies.,70ms,24,Miłość nigdy nie kłamie.
