Reference,SpeechId,Direction,SttLatency,SttLength,beginOfSpeech,endOfSpeech,SttLocale,SttResult,TranslationLatency,TranslatedLength,TranslatedLocale,TranslatedResult,useless,translation comment
1706172253989
,1706171478785,1,1153ms,9,1706171478793,1706171481121,hi_IN,हेलो हेलो,842ms,15,fr_FR,Bonjour Bonjour
,1706171487922,1,467ms,31,1706171487923,1706171491083,hi_IN,क्या मैं आपका नाम जान सकता हूँ?,145ms,34,fr_FR,Puis-je vous connaître votre nom ?
,1706171496222,0,593ms,2,1706171496223,1706171500561,fr_FR,15,315ms,2,hi_IN,15
,1706171506683,1,546ms,45,1706171506684,1706171511162,hi_IN,मेरा नाम भानुप्रकाश है और मैं बैंगलोर से हूँ।,235ms,51,fr_FR,Je m'appelle Bhanuprakash et je viens de Bangalore.
,1706171506985,0,367ms,7,1706171506987,1706171509093,fr_FR,Bonjour,72ms,8,hi_IN,नमस्कार!
,1706171522963,1,551ms,76,1706171522965,1706171529802,hi_IN,क्या मुझे आप फ्रांस के कुछ सांस्कृतिक आकर्षण के बारे में जानकारी दे सकते हो?,245ms,88,fr_FR,Pouvez-vous me donner des informations sur certaines attractions culturelles en France ?
,1706171538823,0,559ms,49,1706171538824,1706171550520,fr_FR,C'est à l'absence endroits sublimes qu'est-ce. ,225ms,43,hi_IN,यह अनुपस्थिति है स्थान उदात्त हैं जो हैं।
,1706171551521,0,318ms,5,1706171551522,1706171554487,fr_FR,16190,14ms,5,hi_IN,16190
,1706171552306,1,674ms,22,1706171552322,1706171554090,hi_IN,मंदिर का मुख्य काम है।,144ms,29,fr_FR,L'œuvre principale du temple.
,1706171560841,1,638ms,71,1706171560843,1706171568204,hi_IN,बहुत धन्यवाद। क्या मुझे आप दूसरे सांस्कृतिक स्थल की जानकारी दे सकते हो?,1706171568842ms,83,null,Merci beaucoup. Pouvez-vous me donner des informations sur un autre lieu culturel ?
,1706171563439,0,375ms,6,1706171563439,1706171566200,fr_FR,Pardon,81ms,11,hi_IN,क्षमा करें।
,1706171579259,0,520ms,15,1706171579260,1706171584839,fr_FR,L'arc du coup. ,120ms,12,hi_IN,झटका का चाप.
,1706171585281,0,502ms,39,1706171585282,1706171588856,fr_FR,Si personne prenne beaucoup de fautes. ,152ms,42,hi_IN,अगर कोई भी बहुत सारी गलतियां नहीं करता है।
,1706171596501,1,559ms,64,1706171596503,1706171602171,hi_IN,क्या मुझे कुछ ऐतिहासिक स्थल के नाम बता सकते हो जो फ्रांस में है?,265ms,79,fr_FR,Pouvez-vous me dire les noms de certains sites historiques qui sont en France ?
,1706171610062,0,629ms,80,1706171610063,1706171617083,fr_FR,Le site historique que j'en ai parlé ça a tout est fait l'arc des treillances ? ,292ms,82,hi_IN,ऐतिहासिक स्थल जिसके बारे में मैंने बात की थी उसने सब कुछ ट्रेलेंस का चाप किया है?
,1706171628118,1,499ms,52,1706171628120,1706171632735,hi_IN,क्या आप मुझे फ्रांस के खानपान की जानकारी दे सकते हो?,215ms,71,fr_FR,Pouvez-vous me donner des informations sur la nourriture de la France ?
,1706171639685,0,794ms,282,1706171639687,1706171667325,fr_FR,Oui en France on mange beaucoup du du du fromage au petit déjeuner on a on va avoir déjà du petit déjeuner et du déjeuner et du généralement. C'est les apéritifs faire un petit déjeuner et au déjeuner on va des fois manger dans des restaurants alors il y a une barre inquiéter de.,1706171668119ms,213,null,हां फ्रांस में हम नाश्ते में बहुत सारे पनीर खाते हैं हम नाश्ता और दोपहर का भोजन करने जा रहे हैं और आमतौर पर। यह ऐपेटाइज़र है नाश्ता बनाते हैं और दोपहर के भोजन पर हम कभी-कभी रेस्तरां में खाएंगे ताकि बार चिंता हो।
